ID,Risk
0,good
1,bad
2,good
3,good
4,bad
5,good
6,good
7,good
8,good
9,bad
10,bad
11,bad
12,good
13,bad
14,good
15,bad
16,good
17,good
18,bad
19,good
20,good
21,good
22,good
23,good
24,good
25,good
26,good
27,good
28,good
29,bad
30,good
31,good
32,good
33,good
34,good
35,bad
36,good
37,bad
38,good
39,good
40,good
41,good
42,good
43,good
44,bad
45,good
46,good
47,good
48,good
49,good
50,good
51,good
52,good
53,good
54,bad
55,good
56,bad
57,good
58,good
59,bad
60,good
61,good
62,bad
63,bad
64,good
65,good
66,good
67,good
68,bad
69,good
70,good
71,good
72,good
73,good
74,bad
75,good
76,bad
77,good
78,good
79,good
80,bad
81,good
82,good
83,good
84,good
85,good
86,good
87,bad
88,good
89,bad
90,good
91,good
92,bad
93,good
94,good
95,bad
96,good
97,good
98,good
99,good
100,good
101,good
102,good
103,good
104,good
105,bad
106,bad
107,good
108,good
109,good
110,good
111,good
112,good
113,bad
114,good
115,good
116,bad
117,good
118,bad
119,good
120,bad
121,good
122,good
123,good
124,bad
125,good
126,good
127,bad
128,good
129,bad
130,good
131,bad
132,good
133,good
134,good
135,good
136,good
137,bad
138,good
139,good
140,good
141,good
142,good
143,bad
144,good
145,good
146,good
147,good
148,good
149,good
150,good
151,good
152,good
153,good
154,good
155,bad
156,good
157,good
158,good
159,good
160,good
161,good
162,good
163,good
164,good
165,good
166,bad
167,good
168,good
169,bad
170,bad
171,good
172,bad
173,good
174,bad
175,bad
176,good
177,good
178,good
179,good
180,bad
181,bad
182,bad
183,good
184,bad
185,good
186,bad
187,good
188,bad
189,good
190,bad
191,bad
192,bad
193,good
194,bad
195,bad
196,good
197,bad
198,good
199,bad
200,good
201,good
202,good
203,bad
204,good
205,good
206,good
207,good
208,good
209,good
210,good
211,good
212,bad
213,bad
214,good
215,good
216,good
217,good
218,good
219,good
220,good
221,good
222,good
223,good
224,good
225,good
226,bad
227,bad
228,bad
229,good
230,bad
231,good
232,good
233,good
234,good
235,bad
236,bad
237,bad
238,good
239,good
240,bad
241,good
242,bad
243,good
244,good
245,good
246,good
247,good
248,good
249,bad
250,good
251,good
252,bad
253,good
254,good
255,good
256,good
257,bad
258,good
259,good
260,good
261,good
262,good
263,good
264,good
265,bad
266,good
267,good
268,bad
269,good
270,good
271,good
272,good
273,bad
274,bad
275,good
276,good
277,good
278,bad
279,good
280,good
281,good
282,good
283,good
284,good
285,good
286,good
287,good
288,good
289,bad
290,good
291,bad
292,good
293,good
294,good
295,bad
296,good
297,good
298,good
299,good
300,good
301,bad
302,bad
303,good
304,bad
305,good
306,good
307,bad
308,bad
309,good
310,good
311,good
312,good
313,bad
314,good
315,bad
316,good
317,good
318,good
319,good
320,bad
321,bad
322,good
323,good
